kdo,268,270,278,279,280,285,288,292,295,296,300,301,303,304,305,307,308,309,311,317,320,322,323,325,335,336,342,343,344,348,349,353,354,355,356,357,358,363,364
Culsche,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Cuna,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Cunradus fil. Godescal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Cunrat fil. Protlue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,?,,,,,
Cunrat fil. Sturm,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cuzsud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Czaslau,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cztibor,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Dalebor,,,,,podkomoří biskupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dama de Keststr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Damian,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Danigauus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Derrich Nedameric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Dětleb fil Gumpoldi,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detrih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Dirislaus,,,,,,,,1,,,,,,,,,,,,1,1,bílinský kastelán,,,,1,,1,,,,,,,,,,,
Dirsara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Dirsislaus fil Ruz,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ditleb,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Divis ,,,,,,,,,,,,,,,,,,,,podkomoří,1,,,,,1,1,,,,,,,,,,,,
Dlugomil,,,číšník,číšník,maršálek,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dluhemil mi. Clusene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Dobremil,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobrogost fr. Mutine,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobromucel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sudí
Domaslaus fr. Benic,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Drisek,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drisizlav,,,,,1,,1?,?,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Emmeram fr.Pribislau,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eppa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erkenbreht,,,,,podstolí biskupa,,,,,,,,1,,,,,,,,,,,1,podstolí biskupa,,,,,,podstolí biskupa,,,,,,,,
Ernest,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernestus fr. Groz. Fil. Zezeme,,,,,,,,,,,,,,,,,,,,,,,1,,,?,,,,,,,,,1,,,,
Gagec,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauel fr. Hermannus,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgius de Milevic,,,,,,,,,,,,,,,,,,,,netolický kastelán,,,,komoří biskupa,komoří biskupa,,,,,,,,,,,1,1,,
Gerdon,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerprechtus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glupen,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotezslav,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gothebor fr. Derrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Gotpoldo fil Lutuin,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotsalac de Olesna,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gozten,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grabissa ,,,,,,,,komoří,komoří,,,,,,,,,,,,komoří,,,,,komoří,,,,komoří,komoří,,,komoří,komoří,komoří,komoří,,
Grabissa fil Grabissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Gronek,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Groznata fil. Zezeme,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Hageno fil. Milgozti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Hartelebus,,,1,,komoří biskupa,,,,,,,,1,,,,,,,,,,,1,stolník,,,,,,,,,,,,,,
Hartwik filius Ztrih,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Heinricho ,,,,,,,,,,,,,,,,,,,,podkonní,,?,,,,,,,,,,,,,,,,,
Heinricho fr. Boguslaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Henricus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henricus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Henricus Naczerad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
henrichus fil Winheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Herman fil. Bertholdus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Hermann fil. Hugone,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermanno,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermannus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermannus,,,maršálek,maršálek,komoř,1,1,,,,1,,,,,,,,,1,1,,komoří,,,1,,,,1,,,,,1,,1,,
Hermannus fil Wilhelmi,,,,,,,,,,,1,1,,,,,,,,,,,?,,,1,,1,,1,,,,,,,,,
Hertwicus miles,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Hogir de Radoniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Hoika,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honata fr. Bogutha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Hren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Hrosnata calvus,,,,,,,,1,,,1,,,,dispensator,1,,,,,,,,,,,,,,,,,,,,,,,
Hroznata,,,,,,,,číšník,,,komoří,komoří,,komoří,komoří,,komoří,1,,,,,,,,,,,,,,,,,,,,,
Hual fil. Preda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Hugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Chiske,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholaz,,,,,,,,,,,,,,,,,,,,,,komoří kněžny,,,,,,,,,,,,,,,,,
Ian de Natunic,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
Ierozlaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
Iessutbor,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igenis fil Bozethe,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imram,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ioaness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Iscislaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Isdata Witkouc,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iurata,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iuric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stolník,,,,,,,,,
Iurik Iurikovicz,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Iuriz fil. Zlawathe,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
Jan fili Episcopi,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Jan fr Golaz,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Janek,,,,,,1,,,,?,?,,,,?,,,,,,,,,,,,,,,?,?,,,,,,,,
Jarognev,,,žatecký kastelán,žatecký kastelán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,podčeší,,,,,,,,
Jaros,,přerovský kastelán,,1,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaros fil Ratibor,,,,,,,,,,,1,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaros filius Cstetensis,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarozlaw,,,,,,,,,,,,,,,,,1,,,,,,,,,?,,,,,,,,,,,,,
Johannes de Zvlezlav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Johannes,,,,,,,,sudí,sudí,sudí,sudí,sudí,,sudí,,,,,,sudí,,,,,,plzeňský sudí,,,sudí,,,,,,,1,,,
Juriko fil. Jurik,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karolo,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Klusna,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Kohan,,,doudlebský kastelán,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Kochan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Konrád Znojemský,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Krabka,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kralo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamcus,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Laztibor,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenart,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letar,,,,,,,,,,,,stolník,,stolník,stolník,1,,,,komoří,,,,,,,,,,,,,,,,,,,
Licholut consobrinus Milgozti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Luder,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludewic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ludwik,,,,,,1,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Lutherus de Buitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Lutholig fr. Wezmili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Lutobor fil. Smil,,,,,,,,,,1,boleslavský kastelán,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,
Lutognew,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutold,,,,,číšník biskupa,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutolphus fil Wintheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Lutuin,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutwin,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Marquart fil. Hermanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Marquartus,,,,,,,,,,,,,,,,1,,,,,,1,,?,podčeší biskupa,1,,,,,,,,,?,,,,
Martin fil. Oztre,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Martin Ozretic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Martinus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinus de Zaiaczic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Matheo fil. Weztei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Matheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Matheus fr Jan?ek,,,,,,,,1,,1,,,,,lovčí,,,,,stolník,,,stolník,,,,?,,,,,,,,,,,,
Matholth,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michal,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michul,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Milata,,1,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milgost fr. Petrus,,,1,,,,,,,?,,,,,,?,,,,,?,,,,,,?,,,,,,,,,,,,
Milgozt,,,,,,,,,,1,,,,,,?,,,,,?,,,,,,?,,,1,,,,,,,,,
Milgozt fil. Milgozti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Milic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Milk,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miloslaus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milotha fr. Bun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mirozlaus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Mistislaus,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mladota,,sudí,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modlik,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Moiec,,brněnský kastelán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moymir,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Mrakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Mutine,,,pražský kastelán,1,1,1,,,,,?,číšník,,,,,,,,,,,,,,?,,,,,,,,,,,?,,
Nacepulc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Nacerad,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Naczepulc,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Nadamir,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Nausa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nedamir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Norberc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Noztup,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Nuzluha,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Obiden fr. Petrus,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,?,,
Odolenus,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,?,,,,,?,,
Oldricus fil Stibor,,,1,1,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oldrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Oldrichus de Zizinkou,,,,1,netolický kastelán,?,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Oldřich Přemyslovec,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olrichus fil. Oldrichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Ones,,,,,,1,,komoří,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
